equipment_type,part_category,lead_time,lead_time_variability,supplier_count,supplier_reliability,supplier_dependency,stock_level,safety_stock,reorder_point,demand_rate,demand_variability,failure_rate,MTBF,MTTR,equipment_criticality,part_criticality,transport_delay,customs_delay,historical_stockouts,historical_downtime,riesgo_stockout,downtime_esperado_horas
Compresor Estacionario,Transmisión y Tren de Potencia,87.9,17.0,1,0.65,1.0,8,1,7,2.96,1.01,0.0622,385.6,11.3,1,2,4.6,17.2,0,0.0,1,31.0
Jumbo de Perforación,Electrónica y Control ECM,168.0,55.5,1,0.884,1.0,4,0,6,1.59,0.74,0.0422,568.1,18.9,2,3,20.6,4.4,1,26.7,1,63.4
Jumbo de Perforación,Ventilación y Flujo de Aire,130.8,25.8,1,0.65,1.0,3,0,5,1.49,0.38,0.09,266.7,21.9,2,3,4.1,0.4,0,0.0,1,53.0
Ventilador Axial Principal,Ventilación y Flujo de Aire,117.1,16.1,1,0.65,1.0,4,2,3,0.2,0.08,0.0181,1322.6,18.8,3,3,0.3,10.2,0,0.0,0,4.2
Perforadora Long Hole,Perforación y Rotación,87.7,25.4,1,0.894,1.0,7,1,8,3.45,1.42,0.0385,623.1,11.9,2,2,14.7,10.8,1,23.6,0,1.0
Scooptram (LHD),Transmisión y Tren de Potencia,111.2,26.9,1,0.794,1.0,3,1,2,0.22,0.06,0.0166,1445.6,15.3,2,2,11.0,1.0,2,88.7,0,3.6
Faja Transportadora,Hidráulica de Alta Presión,91.1,17.9,3,0.846,0.75,6,2,12,4.68,1.81,0.0689,348.3,18.8,3,3,1.1,0.8,2,41.2,1,46.5
Shovel / Pala,Transmisión y Tren de Potencia,81.4,15.4,2,0.682,0.75,0,1,1,0.24,0.11,0.0164,1466.7,7.2,3,2,3.2,10.2,1,74.5,0,13.5
Scooptram (LHD),Transmisión y Tren de Potencia,75.4,10.4,2,0.923,0.746,1,2,3,0.7,0.27,0.0441,544.5,18.9,2,2,10.1,8.1,3,101.5,0,2.2
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,144.7,26.8,2,0.906,0.693,9,1,12,3.27,0.71,0.0217,1107.9,14.0,3,3,0.7,0.7,2,41.2,1,62.9
Jumbo de Perforación,Hidráulica de Alta Presión,107.7,11.6,2,0.795,0.603,3,2,5,1.05,0.16,0.005,1800.0,21.0,2,3,1.6,2.4,2,142.7,0,12.0
Jumbo de Perforación,Transmisión y Tren de Potencia,122.8,27.7,2,0.956,0.7,9,3,21,6.26,2.16,0.0545,440.6,16.2,2,2,0.2,3.0,4,252.9,0,1.0
Shovel / Pala,Desagüe y Bombeo de Relaves,116.0,37.6,2,0.856,0.725,6,3,13,3.68,1.68,0.0374,642.4,18.6,3,3,10.8,3.5,1,38.7,1,83.9
Faja Transportadora,Ventilación y Flujo de Aire,128.4,38.4,2,0.752,0.843,2,0,1,0.26,0.12,0.0233,1032.0,23.2,3,3,0.5,2.8,0,0.0,0,3.2
Scooptram (LHD),Ventilación y Flujo de Aire,100.6,10.8,3,0.963,0.82,1,1,2,0.48,0.23,0.0466,514.6,18.2,2,3,10.0,2.2,2,126.7,0,1.2
Jumbo de Perforación,Desagüe y Bombeo de Relaves,92.9,29.8,1,0.816,1.0,5,1,6,2.3,1.04,0.0157,1523.8,18.2,2,3,1.0,8.7,1,54.8,0,3.9
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,82.7,17.6,1,0.869,1.0,2,1,2,0.4,0.07,0.022,1088.4,17.4,3,3,3.9,16.7,4,273.9,0,1.0
Jumbo de Perforación,Ventilación y Flujo de Aire,67.1,9.9,1,0.683,1.0,3,0,3,1.67,0.72,0.0331,725.6,17.5,2,3,9.2,1.1,4,282.6,0,0.5
Jumbo de Perforación,Transmisión y Tren de Potencia,74.3,21.4,2,0.872,0.785,4,3,10,4.11,1.75,0.0578,415.1,21.2,2,2,0.1,3.4,5,249.1,0,0.1
Scooptram (LHD),Perforación y Rotación,96.8,17.5,1,0.65,1.0,14,2,8,2.57,0.99,0.041,585.4,21.2,2,2,9.2,6.8,0,0.0,0,4.6
Bomba de Desagüe Multietapa,Electrónica y Control ECM,62.8,10.3,3,0.954,0.783,10,3,6,1.79,0.51,0.0337,712.3,20.7,3,3,7.1,3.0,2,70.5,0,16.2
Jumbo de Perforación,Hidráulica de Alta Presión,67.8,9.5,1,0.766,1.0,1,0,4,2.4,0.51,0.0194,1238.7,12.7,2,3,2.7,3.0,0,0.0,0,5.9
Scooptram (LHD),Transmisión y Tren de Potencia,158.4,35.1,1,0.802,1.0,4,3,16,3.56,0.91,0.035,686.2,21.5,2,2,1.9,5.7,2,108.8,1,62.8
Perforadora Long Hole,Ventilación y Flujo de Aire,119.0,14.7,1,0.778,1.0,5,1,5,1.5,0.41,0.0317,756.6,11.5,2,3,1.6,13.0,1,40.2,0,0.4
Perforadora Long Hole,Perforación y Rotación,93.9,27.8,2,0.925,0.675,2,1,2,0.56,0.25,0.0503,477.5,17.3,2,2,12.6,2.4,0,0.0,0,8.4
Ventilador Axial Principal,Hidráulica de Alta Presión,243.6,53.0,2,0.881,0.563,3,1,3,0.31,0.13,0.0152,1577.7,19.0,3,3,2.2,5.3,0,0.0,1,127.5
Jumbo de Perforación,Hidráulica de Alta Presión,61.8,13.1,1,0.818,1.0,1,1,2,0.38,0.09,0.037,648.9,24.7,2,3,2.6,6.5,0,0.0,0,1.4
Bomba de Desagüe Multietapa,Perforación y Rotación,154.8,15.5,2,0.896,0.782,5,2,8,1.74,0.8,0.0771,311.4,18.1,3,2,0.3,2.6,3,78.6,1,57.8
Jumbo de Perforación,Perforación y Rotación,105.8,32.2,1,0.818,1.0,2,1,3,0.62,0.2,0.0473,507.2,19.6,2,2,8.3,0.1,0,0.0,0,0.3
Scooptram (LHD),Hidráulica de Alta Presión,144.8,32.3,2,0.835,0.677,5,3,11,2.25,0.95,0.026,923.9,13.7,2,3,6.3,1.2,3,112.5,0,2.0
Shovel / Pala,Transmisión y Tren de Potencia,114.3,24.0,2,0.752,0.714,7,2,6,1.54,0.55,0.0447,536.5,12.7,3,2,5.0,2.1,2,73.4,0,0.8
Scooptram (LHD),Ventilación y Flujo de Aire,57.1,16.6,3,0.961,0.772,2,2,4,1.59,0.62,0.0382,628.7,16.7,2,3,1.2,9.1,2,43.8,0,5.6
Scooptram (LHD),Transmisión y Tren de Potencia,113.7,13.2,3,0.951,0.832,12,1,8,2.75,0.81,0.0649,369.6,19.2,2,2,2.4,10.9,2,50.6,0,2.0
Scooptram (LHD),Desagüe y Bombeo de Relaves,123.7,23.7,2,0.953,0.555,7,0,8,2.69,0.63,0.0301,797.1,18.2,2,3,4.4,2.8,0,0.0,0,4.2
Scooptram (LHD),Hidráulica de Alta Presión,51.1,12.5,1,0.663,1.0,6,2,5,2.71,0.6,0.0322,744.5,15.3,2,3,7.2,2.0,1,61.3,0,8.1
Scooptram (LHD),Hidráulica de Alta Presión,217.2,46.7,2,0.825,0.597,6,0,6,1.09,0.23,0.0483,497.1,24.4,2,3,0.2,13.8,1,61.1,1,85.9
Faja Transportadora,Hidráulica de Alta Presión,122.7,17.8,1,0.799,1.0,3,0,6,2.06,0.81,0.005,1800.0,13.2,3,3,2.6,1.8,4,127.1,1,68.2
Jumbo de Perforación,Transmisión y Tren de Potencia,139.2,24.3,1,0.834,1.0,1,1,2,0.2,0.1,0.0239,1003.1,29.9,2,2,0.5,0.4,4,208.7,0,5.7
Scooptram (LHD),Hidráulica de Alta Presión,73.2,12.8,1,0.65,1.0,4,2,5,1.62,0.4,0.0751,319.4,14.7,2,3,0.2,6.8,1,33.4,0,1.1
Scooptram (LHD),Hidráulica de Alta Presión,140.1,48.7,1,0.65,1.0,3,0,3,0.81,0.13,0.0466,514.7,15.1,2,3,3.5,3.8,4,239.4,0,0.9
Compresor Estacionario,Desagüe y Bombeo de Relaves,161.1,29.2,2,0.959,0.821,5,2,14,3.17,0.8,0.0117,1800.0,17.6,1,3,10.0,0.3,1,58.3,1,46.8
Ventilador Axial Principal,Hidráulica de Alta Presión,120.2,18.2,1,0.817,1.0,1,0,1,0.2,0.06,0.0089,1800.0,18.0,3,3,0.2,1.8,3,187.2,0,7.2
Jumbo de Perforación,Perforación y Rotación,109.6,33.5,3,0.976,0.818,2,1,4,1.23,0.3,0.0572,419.7,14.1,2,2,2.7,5.9,0,0.0,0,1.3
Perforadora Long Hole,Transmisión y Tren de Potencia,80.5,16.5,2,0.947,0.614,2,1,5,2.1,0.75,0.0057,1800.0,17.2,2,2,1.0,0.9,2,102.9,0,4.0
Jumbo de Perforación,Ventilación y Flujo de Aire,102.0,21.5,2,0.875,0.872,6,1,6,2.05,0.81,0.0515,466.4,19.1,2,3,1.2,10.4,1,68.0,0,3.8
Jumbo de Perforación,Hidráulica de Alta Presión,92.0,21.8,1,0.745,1.0,3,1,5,2.02,0.5,0.0647,370.8,22.0,2,3,5.6,13.3,3,112.2,1,58.6
Scooptram (LHD),Hidráulica de Alta Presión,134.4,33.5,1,0.71,1.0,4,2,3,0.31,0.11,0.0227,1055.8,13.0,2,3,1.2,19.3,1,63.5,0,1.2
Jumbo de Perforación,Electrónica y Control ECM,81.7,20.2,2,0.814,0.898,4,1,4,1.39,0.47,0.0373,642.8,5.2,2,3,0.8,1.3,1,26.6,0,1.6
Jumbo de Perforación,Electrónica y Control ECM,134.0,14.6,2,0.758,0.902,0,1,2,0.31,0.14,0.0174,1379.7,9.9,2,3,2.0,9.8,2,80.6,0,8.1
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,82.0,25.0,2,0.691,0.801,5,1,3,1.2,0.3,0.0161,1490.2,15.7,3,3,1.9,3.0,1,66.4,0,2.5
Jumbo de Perforación,Desagüe y Bombeo de Relaves,100.3,14.9,1,0.796,1.0,11,3,14,4.76,1.47,0.09,266.7,13.5,2,3,1.6,2.0,2,122.7,1,45.6
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,136.5,23.6,2,0.937,0.907,4,1,8,2.2,0.34,0.0165,1453.3,17.4,3,3,14.5,0.6,2,45.8,1,104.5
Scooptram (LHD),Transmisión y Tren de Potencia,86.0,12.3,2,0.673,0.837,0,0,3,1.41,0.22,0.0216,1110.7,12.6,2,2,13.4,1.9,0,0.0,1,60.1
Scooptram (LHD),Perforación y Rotación,138.1,40.3,2,0.65,0.684,2,3,4,0.2,0.09,0.005,1800.0,17.6,2,2,2.2,1.4,0,0.0,0,4.5
Jumbo de Perforación,Electrónica y Control ECM,133.5,32.8,2,0.974,0.662,9,0,12,3.74,1.17,0.0414,580.3,21.8,2,3,2.4,0.4,0,0.0,0,2.4
Compresor Estacionario,Perforación y Rotación,100.0,28.9,3,0.913,0.642,3,0,6,2.51,1.04,0.0647,370.9,17.8,1,2,0.9,1.1,4,198.0,1,36.6
Jumbo de Perforación,Desagüe y Bombeo de Relaves,165.2,43.5,2,0.733,0.722,3,0,6,1.64,0.46,0.037,648.2,20.3,2,3,3.6,7.4,2,57.7,1,60.0
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,113.0,14.2,1,0.884,1.0,3,2,3,0.42,0.16,0.0363,661.7,26.3,3,3,2.2,14.4,1,70.2,0,2.4
Jumbo de Perforación,Transmisión y Tren de Potencia,161.8,28.4,2,0.897,0.566,1,0,1,0.39,0.18,0.0214,1120.7,17.0,2,2,5.4,2.3,2,48.4,1,59.0
Scooptram (LHD),Electrónica y Control ECM,206.1,46.7,2,0.923,0.806,7,3,10,1.5,0.51,0.0281,854.7,11.1,2,3,14.0,8.1,0,0.0,1,73.0
Scooptram (LHD),Ventilación y Flujo de Aire,101.1,17.8,1,0.823,1.0,1,2,2,0.2,0.09,0.014,1714.1,10.5,2,3,1.6,14.8,3,149.3,0,3.4
Jumbo de Perforación,Electrónica y Control ECM,137.9,20.9,1,0.718,1.0,4,1,7,2.01,0.44,0.043,558.4,21.0,2,3,2.0,22.3,0,0.0,1,78.6
Scooptram (LHD),Desagüe y Bombeo de Relaves,88.0,27.9,2,0.929,0.634,3,1,2,0.57,0.27,0.0253,948.8,21.1,2,3,3.5,5.8,3,156.7,0,1.9
Scooptram (LHD),Transmisión y Tren de Potencia,76.6,22.0,2,0.838,0.599,2,1,3,1.36,0.51,0.0321,746.9,20.3,2,2,2.6,8.6,1,58.6,0,1.1
Shovel / Pala,Hidráulica de Alta Presión,102.7,19.1,3,0.65,0.803,2,0,4,1.76,0.75,0.0422,569.0,25.9,3,3,0.8,3.3,3,204.4,1,53.7
Scooptram (LHD),Hidráulica de Alta Presión,68.3,19.9,2,0.941,0.603,4,1,2,0.34,0.11,0.0407,589.8,18.7,2,3,4.8,0.1,1,57.9,0,2.7
Ventilador Axial Principal,Electrónica y Control ECM,79.2,20.4,1,0.727,1.0,7,1,5,2.29,1.04,0.0172,1397.6,18.7,3,3,0.9,4.1,1,54.7,0,1.2
Jumbo de Perforación,Ventilación y Flujo de Aire,135.3,13.7,2,0.859,0.873,6,0,11,3.38,1.34,0.063,380.8,20.5,2,3,7.8,3.7,0,0.0,1,52.9
Ventilador Axial Principal,Transmisión y Tren de Potencia,91.9,17.9,2,0.83,0.862,7,1,4,1.27,0.29,0.014,1710.4,24.2,3,2,0.2,6.2,2,68.0,0,7.5
Ventilador Axial Principal,Electrónica y Control ECM,141.1,24.3,1,0.74,1.0,5,1,3,0.48,0.09,0.0272,882.0,24.8,3,3,0.4,10.0,2,77.4,0,8.2
Jumbo de Perforación,Hidráulica de Alta Presión,122.2,18.9,1,0.87,1.0,7,1,9,2.85,0.89,0.0671,357.7,4.4,2,3,5.0,34.2,1,72.2,0,0.7
Jumbo de Perforación,Hidráulica de Alta Presión,210.3,34.3,1,0.65,1.0,8,1,7,1.17,0.4,0.0102,1800.0,15.1,2,3,1.1,24.6,3,121.5,1,83.4
Shovel / Pala,Ventilación y Flujo de Aire,132.2,44.4,1,0.65,1.0,4,1,4,0.93,0.19,0.0683,351.5,22.3,3,3,4.3,10.7,1,54.8,0,3.2
Perforadora Long Hole,Transmisión y Tren de Potencia,162.5,36.0,2,0.849,0.649,2,1,2,0.27,0.09,0.0132,1800.0,15.3,2,2,13.0,1.0,1,39.7,0,8.8
Scooptram (LHD),Ventilación y Flujo de Aire,126.6,39.5,1,0.728,1.0,3,3,11,2.74,1.12,0.0747,321.3,24.5,2,3,3.8,13.5,3,48.2,1,54.2
Scooptram (LHD),Desagüe y Bombeo de Relaves,122.7,18.8,1,0.9,1.0,0,1,2,0.36,0.15,0.0167,1432.7,19.8,2,3,0.8,9.7,1,19.8,0,0.5
Compresor Estacionario,Desagüe y Bombeo de Relaves,165.4,23.7,1,0.778,1.0,10,1,12,2.87,0.91,0.0684,350.7,20.3,1,3,6.1,15.4,0,0.0,1,52.5
Jumbo de Perforación,Hidráulica de Alta Presión,139.0,44.8,2,0.866,0.74,4,1,8,2.22,0.35,0.0183,1312.9,19.5,2,3,7.6,0.2,1,24.7,0,2.5
Ventilador Axial Principal,Transmisión y Tren de Potencia,118.4,26.5,1,0.878,1.0,6,2,8,2.12,0.87,0.0467,514.4,11.8,3,2,5.4,9.1,1,26.6,0,1.5
Jumbo de Perforación,Ventilación y Flujo de Aire,118.2,38.3,1,0.65,1.0,11,0,7,2.56,0.89,0.0477,503.3,24.2,2,3,4.0,9.4,1,70.8,0,1.3
Scooptram (LHD),Desagüe y Bombeo de Relaves,132.8,15.4,1,0.684,1.0,4,1,9,2.44,0.99,0.0537,446.9,26.5,2,3,7.0,2.1,0,0.0,1,56.8
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,87.0,28.6,1,0.894,1.0,4,0,5,2.38,1.16,0.0246,974.2,25.7,3,3,5.1,0.4,1,60.5,0,3.3
Ventilador Axial Principal,Hidráulica de Alta Presión,85.7,17.5,1,0.906,1.0,4,3,5,1.07,0.47,0.0058,1800.0,17.7,3,3,3.4,16.9,1,56.8,0,8.3
Scooptram (LHD),Hidráulica de Alta Presión,181.2,25.2,2,0.975,0.753,3,1,7,1.43,0.22,0.0338,709.0,16.6,2,3,5.7,2.9,1,55.5,1,82.2
Ventilador Axial Principal,Electrónica y Control ECM,211.2,57.2,1,0.695,1.0,3,1,5,0.75,0.29,0.0468,512.4,18.8,3,3,0.8,2.9,3,140.7,1,102.3
Shovel / Pala,Ventilación y Flujo de Aire,79.5,23.8,1,0.749,1.0,1,1,1,0.24,0.12,0.0286,840.3,23.6,3,3,2.9,0.6,1,70.1,0,1.6
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,87.0,9.7,1,0.65,1.0,2,1,2,0.67,0.29,0.0391,613.3,16.5,3,2,4.3,27.1,1,70.4,1,78.1
Scooptram (LHD),Hidráulica de Alta Presión,164.1,56.9,3,0.882,0.904,2,0,5,1.37,0.66,0.0211,1135.6,19.2,2,3,2.1,2.4,1,37.6,1,56.7
Ventilador Axial Principal,Ventilación y Flujo de Aire,132.6,36.4,1,0.837,1.0,2,1,4,0.85,0.22,0.0434,552.8,10.3,3,3,3.1,1.2,1,72.8,0,2.2
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,139.4,25.1,3,0.909,0.767,1,2,4,0.46,0.12,0.0311,771.3,19.6,3,2,1.4,12.4,1,25.1,0,5.6
Shovel / Pala,Hidráulica de Alta Presión,150.5,20.7,2,0.939,0.902,11,1,6,1.44,0.67,0.0792,303.0,19.4,3,3,3.5,1.9,0,0.0,1,68.9
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,101.1,20.0,1,0.65,1.0,9,3,12,3.61,1.41,0.0384,624.7,11.5,3,3,1.5,0.2,1,59.9,1,53.1
Scooptram (LHD),Transmisión y Tren de Potencia,123.5,19.2,2,0.928,0.841,5,1,8,2.54,0.99,0.0243,988.8,20.4,2,2,0.6,17.9,0,0.0,0,0.5
Bomba de Desagüe Multietapa,Electrónica y Control ECM,120.2,26.9,2,0.845,0.788,7,2,12,3.65,1.66,0.0816,294.3,17.8,3,3,11.9,3.5,2,62.7,1,80.3
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,81.5,24.1,2,0.794,0.894,4,1,2,0.56,0.13,0.0579,414.5,21.9,3,2,4.1,3.2,4,74.4,0,0.0
Scooptram (LHD),Hidráulica de Alta Presión,122.8,32.6,2,0.802,0.895,9,1,7,2.19,0.85,0.01,1800.0,8.6,2,3,2.4,6.5,1,24.8,0,5.9
Jumbo de Perforación,Hidráulica de Alta Presión,169.6,35.5,2,0.954,0.741,9,2,15,3.3,1.11,0.058,413.5,17.0,2,3,0.6,2.1,3,173.9,1,52.1
Jumbo de Perforación,Transmisión y Tren de Potencia,97.9,12.7,1,0.795,1.0,4,1,4,1.38,0.62,0.0415,578.5,26.9,2,2,1.3,3.3,4,138.6,0,0.5
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,116.0,39.4,2,0.883,0.916,0,1,2,0.32,0.15,0.0211,1136.7,4.0,3,3,0.6,7.8,3,154.2,0,5.0
Scooptram (LHD),Hidráulica de Alta Presión,118.3,19.8,2,0.968,0.716,1,1,6,1.71,0.62,0.0362,663.5,15.9,2,3,4.5,4.4,2,70.7,1,55.7
Bomba de Desagüe Multietapa,Electrónica y Control ECM,99.6,16.9,1,0.65,1.0,7,1,6,2.26,0.8,0.0573,418.6,14.7,3,3,1.9,5.4,1,54.7,1,47.2
Compresor Estacionario,Hidráulica de Alta Presión,139.4,36.4,3,0.872,0.591,2,0,1,0.44,0.22,0.0332,723.4,18.5,1,3,0.5,2.3,1,27.0,0,4.2
Shovel / Pala,Hidráulica de Alta Presión,86.7,25.4,1,0.831,1.0,1,0,2,0.87,0.2,0.0541,443.5,15.3,3,3,1.6,1.5,4,171.6,1,46.6
Compresor Estacionario,Hidráulica de Alta Presión,175.4,60.7,3,0.776,0.602,11,0,12,2.95,1.03,0.0841,285.5,19.1,1,3,4.1,3.1,0,0.0,1,33.7
Faja Transportadora,Hidráulica de Alta Presión,137.0,46.9,2,0.807,0.755,5,3,16,4.06,1.24,0.09,266.7,24.2,3,3,5.3,6.9,1,28.8,1,87.6
Scooptram (LHD),Ventilación y Flujo de Aire,79.3,26.0,2,0.916,0.572,2,1,5,2.38,0.46,0.0259,927.7,22.1,2,3,0.7,10.0,0,0.0,0,3.0
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,199.3,41.6,3,0.952,0.918,2,2,4,0.44,0.1,0.0231,1039.6,16.8,3,2,11.1,1.9,1,71.8,0,1.9
Jumbo de Perforación,Desagüe y Bombeo de Relaves,116.7,16.5,2,0.903,0.795,0,1,2,0.32,0.06,0.0359,668.0,31.8,2,3,6.0,0.1,2,84.7,0,6.0
Perforadora Long Hole,Hidráulica de Alta Presión,85.4,21.0,1,0.799,1.0,5,2,5,1.74,0.79,0.065,369.3,23.9,2,3,8.4,2.4,3,50.8,0,2.8
Jumbo de Perforación,Hidráulica de Alta Presión,161.9,16.9,2,0.933,0.815,6,2,8,1.52,0.36,0.0296,810.3,12.1,2,3,0.9,10.4,3,155.7,0,0.9
Faja Transportadora,Transmisión y Tren de Potencia,130.8,19.5,1,0.78,1.0,7,3,6,1.03,0.51,0.0573,419.0,16.4,3,2,1.4,3.4,2,99.8,1,63.1
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,59.2,6.0,1,0.86,1.0,7,3,8,3.74,0.91,0.0571,420.5,25.3,3,3,1.7,2.9,4,210.8,0,0.9
Shovel / Pala,Transmisión y Tren de Potencia,91.5,13.3,3,0.854,0.851,1,0,3,1.18,0.21,0.012,1800.0,17.4,3,2,26.6,0.3,3,213.8,1,84.1
Scooptram (LHD),Transmisión y Tren de Potencia,121.3,26.5,1,0.894,1.0,4,1,9,2.89,1.05,0.049,489.8,17.3,2,2,0.3,3.7,1,60.7,1,52.3
Scooptram (LHD),Transmisión y Tren de Potencia,51.7,10.2,1,0.922,1.0,4,3,8,4.39,1.56,0.031,774.5,13.1,2,2,9.4,1.3,1,54.5,0,24.2
Shovel / Pala,Hidráulica de Alta Presión,113.3,21.8,2,0.94,0.649,2,0,4,1.57,0.56,0.0502,477.9,24.1,3,3,5.4,0.5,0,0.0,1,49.5
Scooptram (LHD),Perforación y Rotación,116.3,35.8,1,0.874,1.0,11,0,12,4.24,1.58,0.09,266.7,16.7,2,2,15.2,14.8,0,0.0,1,78.1
Perforadora Long Hole,Electrónica y Control ECM,72.7,19.5,1,0.65,1.0,2,2,2,0.2,0.05,0.0119,1800.0,11.4,2,3,12.5,1.0,2,64.3,0,5.2
Scooptram (LHD),Desagüe y Bombeo de Relaves,120.9,40.4,2,0.808,0.699,9,2,11,3.18,1.42,0.0095,1800.0,12.3,2,3,2.0,7.3,1,48.4,0,4.6
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,110.3,23.3,2,0.921,0.573,5,3,8,2.07,0.72,0.0069,1800.0,11.9,3,3,6.7,4.8,1,68.1,0,1.7
Jumbo de Perforación,Electrónica y Control ECM,72.5,12.2,1,0.705,1.0,4,1,5,2.15,0.91,0.0179,1340.7,17.3,2,3,5.0,5.4,4,65.9,0,1.8
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,151.8,19.8,2,0.9,0.716,2,1,3,0.54,0.12,0.041,584.8,17.1,3,3,15.5,1.2,2,135.4,0,12.6
Bomba de Desagüe Multietapa,Electrónica y Control ECM,147.5,39.5,3,0.943,0.758,3,1,4,0.76,0.35,0.0343,699.9,14.4,3,3,1.3,2.6,1,60.8,0,1.3
Jumbo de Perforación,Hidráulica de Alta Presión,99.4,30.9,3,0.863,0.888,2,2,3,0.24,0.06,0.022,1088.5,13.2,2,3,4.6,4.4,2,34.3,0,0.2
Scooptram (LHD),Transmisión y Tren de Potencia,102.6,15.0,2,0.956,0.849,7,0,8,3.54,0.57,0.0858,279.8,29.2,2,2,0.5,27.0,1,45.8,1,60.1
Scooptram (LHD),Electrónica y Control ECM,141.8,45.3,1,0.703,1.0,8,0,7,2.1,0.77,0.0588,408.4,10.2,2,3,3.6,15.8,3,185.6,0,7.4
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,102.5,23.7,1,0.791,1.0,5,0,8,3.21,1.53,0.0543,442.1,17.1,3,3,6.3,9.0,1,48.8,1,73.5
Ventilador Axial Principal,Ventilación y Flujo de Aire,56.0,7.6,3,0.807,0.886,6,0,4,3.24,1.45,0.0191,1257.7,21.9,3,3,0.3,0.8,2,126.4,0,10.3
Shovel / Pala,Ventilación y Flujo de Aire,130.4,34.0,1,0.894,1.0,6,2,14,3.85,1.86,0.0556,431.8,19.8,3,3,7.3,2.0,1,54.5,1,77.1
Ventilador Axial Principal,Hidráulica de Alta Presión,82.8,19.0,3,0.8,0.713,2,1,4,1.31,0.47,0.0182,1320.0,24.0,3,3,2.7,2.6,3,91.9,0,1.4
Jumbo de Perforación,Transmisión y Tren de Potencia,96.0,10.3,2,0.819,0.562,7,3,5,1.11,0.19,0.0118,1800.0,20.9,2,2,2.8,3.9,0,0.0,0,9.5
Jumbo de Perforación,Hidráulica de Alta Presión,183.2,36.6,3,0.901,0.791,8,3,6,0.64,0.14,0.0546,439.6,26.4,2,3,7.2,0.7,1,34.3,0,3.8
Scooptram (LHD),Ventilación y Flujo de Aire,105.0,31.1,1,0.7,1.0,4,2,4,0.66,0.1,0.0299,803.8,12.8,2,3,0.8,2.4,3,214.8,1,46.4
Jumbo de Perforación,Perforación y Rotación,110.1,26.3,1,0.887,1.0,7,1,9,3.31,0.75,0.0297,806.6,23.1,2,2,6.9,26.3,0,0.0,1,54.7
Faja Transportadora,Hidráulica de Alta Presión,131.5,22.4,2,0.891,0.632,7,1,8,2.15,0.7,0.0161,1491.8,26.7,3,3,6.4,0.1,1,22.4,0,0.2
Perforadora Long Hole,Hidráulica de Alta Presión,131.3,43.6,3,0.825,0.622,4,2,4,0.53,0.23,0.0282,851.5,10.1,2,3,0.4,1.1,0,0.0,0,0.3
Jumbo de Perforación,Transmisión y Tren de Potencia,79.7,12.7,2,0.94,0.664,4,2,7,2.55,0.45,0.0833,288.0,25.3,2,2,4.1,9.6,1,49.1,1,49.2
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,107.7,17.6,1,0.89,1.0,7,1,8,2.68,0.54,0.04,600.7,21.9,3,3,0.1,25.0,3,115.5,0,9.4
Perforadora Long Hole,Electrónica y Control ECM,111.4,21.0,3,0.785,0.862,7,0,9,3.48,0.99,0.0306,784.7,18.5,2,3,0.6,0.7,3,160.5,0,9.4
Jumbo de Perforación,Hidráulica de Alta Presión,121.0,39.2,2,0.968,0.821,2,1,3,0.66,0.17,0.0559,428.9,13.6,2,3,7.1,1.1,2,65.8,0,1.1
Scooptram (LHD),Perforación y Rotación,121.7,27.6,1,0.65,1.0,4,1,5,1.28,0.25,0.0172,1393.0,16.8,2,2,0.4,11.9,2,81.3,0,3.1
Scooptram (LHD),Desagüe y Bombeo de Relaves,270.0,73.0,1,0.65,1.0,2,3,5,0.24,0.11,0.0289,829.7,9.5,2,3,8.8,9.0,4,142.0,1,99.1
Ventilador Axial Principal,Hidráulica de Alta Presión,72.9,25.1,2,0.935,0.773,2,2,2,0.2,0.1,0.012,1800.0,16.5,3,3,6.5,5.2,1,54.2,0,4.7
Faja Transportadora,Perforación y Rotación,155.0,45.9,1,0.881,1.0,8,3,7,1.11,0.37,0.0099,1800.0,18.3,3,2,8.0,17.1,0,0.0,0,1.8
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,166.4,23.8,3,0.877,0.742,3,1,8,1.87,0.5,0.0469,511.2,19.1,3,2,0.4,3.3,2,144.4,1,83.3
Scooptram (LHD),Transmisión y Tren de Potencia,130.7,38.8,1,0.779,1.0,4,1,12,3.51,1.02,0.0615,390.4,14.7,2,2,13.8,1.5,1,15.1,1,64.6
